"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","774","Ввести -300° → ошибка ниже абсолютного нуля","webkit","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","4324","Температура 15°, режим Комфорт → команда ""Выкл""","webkit","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","531","Температура 25°, режим Эко → команда ""Вкл""","firefox","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","488","Пустой ввод → ошибка","firefox","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","742","Пустой ввод → ошибка","webkit","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1","выбрасывает ошибку при температуре датчика ниже абсолютного нуля","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Валидация температур","",""
"","1","не включает котел при температуре выше целевой","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Комфорт режим","",""
"","1479","Температура 15°, режим Комфорт → команда ""Выкл""","firefox","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","16","включает котел при температуре ниже целевой более чем на 3 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Эко режим","",""
"","392","Ввод нечислового значения (буквы) → ошибка","chromium","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","848","Температура 25°, режим Эко → команда ""Вкл""","webkit","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","463","Ввести -300° → ошибка ниже абсолютного нуля","firefox","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","461","Ввод нечислового значения (буквы) → ошибка","firefox","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","425","Температура 15°, режим Комфорт → команда ""Выкл""","chromium","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","306","Ввести -300° → ошибка ниже абсолютного нуля","chromium","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","323","Температура 25°, режим Эко → команда ""Вкл""","chromium","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1","включает котел при температуре ниже целевой более чем на 0.5 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Комфорт режим","",""
"","413","Пустой ввод → ошибка","chromium","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1","выбрасывает ошибку, если датчик вернул NaN","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Валидация температур","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул null (дребезг)","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Безопасность и ошибки датчика","",""
"","3","пробрасывает ошибку, если сервис датчиков упал с ошибкой соединения","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Валидация температур","",""
"","750","Ввод нечислового значения (буквы) → ошибка","webkit","2026-04-13","passed","2026-04-13","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","не включает котел при разнице менее 3 градусов","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Эко режим","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул undefined","shouldTurnOnBoiler (Async with Mocks)","2026-04-13","passed","2026-04-13","","Безопасность и ошибки датчика","",""
