"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Должен выбросить ошибку безопасности, если датчик вернул undefined","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Безопасность и ошибки датчика","",""
"","375","Ввести -300° → ошибка ниже абсолютного нуля","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","765","Ввести -300° → ошибка ниже абсолютного нуля","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","не включает котел при разнице менее 3 градусов","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Эко режим","",""
"","2","выбрасывает ошибку, если датчик вернул NaN","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Валидация температур","",""
"","377","Температура 25°, режим Эко → команда ""Вкл""","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","465","Пустой ввод → ошибка","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1490","Температура 15°, режим Комфорт → команда ""Выкл""","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","400","Пустой ввод → ошибка","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","425","Температура 15°, режим Комфорт → команда ""Выкл""","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","387","Ввод нечислового значения (буквы) → ошибка","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","475","Ввод нечислового значения (буквы) → ошибка","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","не включает котел при температуре выше целевой","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Комфорт режим","",""
"","3770","Температура 15°, режим Комфорт → команда ""Выкл""","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","789","Ввод нечислового значения (буквы) → ошибка","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","3","пробрасывает ошибку, если сервис датчиков упал с ошибкой соединения","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Валидация температур","",""
"","1","включает котел при температуре ниже целевой более чем на 0.5 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Комфорт режим","",""
"","2","выбрасывает ошибку при температуре датчика ниже абсолютного нуля","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Валидация температур","",""
"","828","Температура 25°, режим Эко → команда ""Вкл""","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул null (дребезг)","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Безопасность и ошибки датчика","",""
"","755","Пустой ввод → ошибка","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","464","Ввести -300° → ошибка ниже абсолютного нуля","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","12","включает котел при температуре ниже целевой более чем на 3 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Эко режим","",""
"","513","Температура 25°, режим Эко → команда ""Вкл""","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
