"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","462","Ввести -300° → ошибка ниже абсолютного нуля","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","379","Температура 25°, режим Эко → команда ""Вкл""","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","442","Пустой ввод → ошибка","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","371","Пустой ввод → ошибка","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","463","Ввод нечислового значения (буквы) → ошибка","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","808","Ввести -300° → ошибка ниже абсолютного нуля","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1550","Температура 15°, режим Комфорт → команда ""Выкл""","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул undefined","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Безопасность и ошибки датчика","",""
"","4574","Температура 15°, режим Комфорт → команда ""Выкл""","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1","включает котел при температуре ниже целевой более чем на 0.5 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Комфорт режим","",""
"","1","выбрасывает ошибку, если датчик вернул NaN","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Валидация температур","",""
"","798","Пустой ввод → ошибка","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","800","Ввод нечислового значения (буквы) → ошибка","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","18","включает котел при температуре ниже целевой более чем на 3 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Эко режим","",""
"","1","не включает котел при температуре выше целевой","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Комфорт режим","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул null (дребезг)","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Безопасность и ошибки датчика","",""
"","2","пробрасывает ошибку, если сервис датчиков упал с ошибкой соединения","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Валидация температур","",""
"","506","Температура 25°, режим Эко → команда ""Вкл""","firefox","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","выбрасывает ошибку при температуре датчика ниже абсолютного нуля","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Валидация температур","",""
"","387","Ввод нечислового значения (буквы) → ошибка","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","404","Температура 15°, режим Комфорт → команда ""Выкл""","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","385","Ввести -300° → ошибка ниже абсолютного нуля","chromium","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","799","Температура 25°, режим Эко → команда ""Вкл""","webkit","2026-04-07","passed","2026-04-07","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1","не включает котел при разнице менее 3 градусов","shouldTurnOnBoiler (Async with Mocks)","2026-04-07","passed","2026-04-07","","Эко режим","",""
